"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000002079",3.06484852801131,1.06112994552515,1.77213592723804,0.598785865810514,0.549315688867315,NA
"ENSG00000002330",688.667589034695,0.0103246419431339,0.0964225022817874,0.107077100249492,0.914727814057986,0.976989457490433
"ENSG00000002549",1229.98469317186,0.164300728725487,0.177395585311704,0.926182736942365,0.354351022345473,0.656729477666761
"ENSG00000002586",8367.26727634875,0.0792894308760596,0.131640081100155,0.60231982701176,0.546961265485205,0.801490814631186
"ENSG00000002587",1.95953335698007,0.399056442749026,1.15881067603973,0.344367247385755,0.730570117047997,NA
"ENSG00000002726",1.53531673945229,0.804939605370371,1.8033625142283,0.446354850463786,0.655340940970784,NA
"ENSG00000002745",7.28561888515924,-0.616755840397284,1.02005314561186,-0.604631085204229,0.545424147475141,NA
"ENSG00000002746",126.130005973738,0.193681254724147,0.308349478770702,0.628122529982204,0.529923674966583,0.788533509271851
"ENSG00000002822",351.152304336473,-0.0573898319667155,0.150034116411462,-0.382511880226804,0.702081718534869,0.893013427123575
"ENSG00000002834",8609.18275618938,0.416875055371324,0.108296983616796,3.84936903548871,0.000118422479332917,0.00183011066275208
"ENSG00000002919",251.500095596273,0.34197366987493,0.144338780689971,2.3692431669453,0.0178245300402529,0.0988113131257795
"ENSG00000002933",546.441449222622,0.404466498425363,1.40062631378887,0.288775453126558,0.772753217770892,0.925756744263364
"ENSG00000003056",1837.96769229328,-0.00770187687693563,0.100389433711288,-0.0767199952445753,0.938846297516223,0.983555502335279
"ENSG00000003096",414.075308683702,-0.964578629321617,0.191741904271291,-5.03060941731787,4.8892326586159e-07,1.49289170594229e-05
"ENSG00000003137",106.506412172302,-1.03077632905586,0.583074413477823,-1.76782980907645,0.0770893599140958,0.26776056898403
"ENSG00000003147",9.33188603208963,0.254911504755498,0.570505284731505,0.446817078785635,0.655007138938189,NA
"ENSG00000003249",122.242063046478,-0.368497975015863,0.353315002467841,-1.04297290644884,0.296960841170334,0.600626063988155
"ENSG00000003393",860.859802380907,0.0548919352194714,0.166834695847635,0.32901990164925,0.742140645414132,0.912907738368829
"ENSG00000003400",95.3711570248671,-0.178398908375878,0.354603466800509,-0.503094089816783,0.614898121800287,0.845066429642954
"ENSG00000003402",3368.72335143759,1.16249955503504,0.126138593252644,9.21604978348429,3.08247089974146e-20,7.91254606382786e-18
"ENSG00000003436",5053.34063480256,-0.32544361573794,0.199411744750844,-1.63201829533445,0.102675632127147,0.322727153593647
"ENSG00000003509",302.835086615061,-0.100895148270194,0.125090107320686,-0.806579756235519,0.41990864072025,0.713270117060138
"ENSG00000003756",2957.87449781706,-0.183767842696338,0.0805067784641339,-2.28263813559758,0.0224516926502982,0.115147607581702
"ENSG00000003987",30.2673614014711,0.754687159849315,0.350816093212694,2.151233009119,0.0314578128448344,0.146009370375426
"ENSG00000003989",39.5398447202775,0.586932349134439,0.730281578309876,0.803706907810551,0.421566263729415,0.714323233853433
"ENSG00000004059",1684.3217819095,0.379689771039632,0.114194253668285,3.3249463860289,0.000884355393123538,0.00941039458790467
"ENSG00000004139",312.643392000576,-0.0807770695340641,0.204992488865789,-0.394048923358113,0.693544919623817,0.889780575001754
"ENSG00000004142",1468.18173216884,0.152287930258553,0.127375714151312,1.19558058043661,0.231860273431015,0.523015168470765
"ENSG00000004399",3661.96471974267,-0.051947264385273,0.217224517166168,-0.239140890093614,0.810996335736206,0.941262894070415
"ENSG00000004455",1236.90625297069,-0.0918567972106061,0.164577790992491,-0.558136044095992,0.576751489362169,0.821567090518251
"ENSG00000004468",5.59935950029571,0.2415812807513,0.814160769391886,0.296724295536546,0.76667700680622,NA
"ENSG00000004478",612.469678830193,-0.00303832191426551,0.16656999996518,-0.0182405109857756,0.985446984911849,0.995355988415718
"ENSG00000004487",1255.80031118487,-0.334105525803991,0.0960383685463047,-3.47887548342622,0.000503522488042737,0.0060283384042745
"ENSG00000004534",1306.14906893784,-0.303531255147878,0.158959516857921,-1.90948778121398,0.0561991964864528,0.217793457212724
"ENSG00000004660",79.865424377978,-0.645176178926618,0.378102799642386,-1.70635123447071,0.0879427042570556,0.291633951384521
"ENSG00000004700",1510.20849871797,0.409553280859453,0.119162326764514,3.43693591741292,0.000588334782701409,0.00677211546917445
"ENSG00000004766",495.212595858396,-0.114356684939026,0.129941106528756,-0.880065500394351,0.378823827182131,0.677801189336043
"ENSG00000004776",12520.3502740741,-0.154542224152926,0.245604661253982,-0.629231641467554,0.529197416702356,0.787974866398615
"ENSG00000004777",104.39554381318,-0.471433085352393,0.409422542902587,-1.15145854453979,0.249543640578701,0.544511128676516
"ENSG00000004779",366.340319770589,0.109903471791759,0.136529808339931,0.804977851562803,0.420832460944429,0.713813439525109
